,Drosophila_erecta,Drosophila_yakuba,Drosophila_sechellia,Drosophila_simulans,Drosophila_melanogaster,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Sitophilus_oryzae,Platypus_cylindrus*,Agrilus_planipennis,Photinus_pyralis,Aphidius_gifuensis,Chelonus_insularis,Cotesia_glomerata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Megachile_rotundata,Osmia_bicornis_bicornis,Osmia_lignaria,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_mandarinia,Vespa_velutina,Vespula_pensylvanica,Camponotus_floridanus,Formica_exsecta,Nylanderia_fulva,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Athalia_rosae,Diprion_similis,Neodiprion_fabricii,Neodiprion_virginiana,Neodiprion_lecontei,Blattella_germanica*,Cryptotermes_secundus,Zootermopsis_nevadensis,Schistocera_cancellata,Schistocera_gregaria,Schistocera_nitens,Schistocera_serialis,Ischnura_elegans,Pantala_flavescens*,Tanypteryx_hageni*
Cotesia_glomerata,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,72.08492013,54.69193394,0,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Bombus_vancouverensis_nearcticus,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,0,0.67278027,45.56064753,45.56064753,45.56064753,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Bombus_vosnesenskii,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,0.67278027,0,45.56064753,45.56064753,45.56064753,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Megachile_rotundata,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,45.56064753,45.56064753,0,26.21088732,26.21088732,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Osmia_bicornis_bicornis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,45.56064753,45.56064753,26.21088732,0,6.696605301,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Osmia_lignaria,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,45.56064753,45.56064753,26.21088732,6.696605301,0,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Polistes_canadensis_canadensis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,0,10.7908328,14.54044893,33.76436169,33.76436169,33.76436169,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Polistes_fuscatus,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,10.7908328,0,14.54044893,33.76436169,33.76436169,33.76436169,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Polistes_dominula,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,14.54044893,14.54044893,0,33.76436169,33.76436169,33.76436169,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Vespa_mandarinia,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,33.76436169,33.76436169,33.76436169,0,8.574290475,21.55566323,98.32682693,98.32682693,98.32682693,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
