"","Drosophila_erecta","Drosophila_yakuba","Drosophila_mauritiana","Drosophila_simulans","Drosophila_melanogaster","Drosophila_subpulchrella","Drosophila_pseudoobscura","Lucilia_cuprina","Aethina_tumida","Tribolium_madens","Anoplophora_glabripennis","Diabrotica_virgifera_virgifera","Anthonomus_grandis_grandis","Dendroctonus_ponderosae","Platypus_cylindrus*","Agrilus_planipennis","Aphidius_gifuensis","Chelonus_insularis","Microplitis_demolitor","Bombus_vancouverensis_nearcticus","Bombus_vosnesenskii","Megachile_rotundata","Osmia_bicornis_bicornis","Osmia_lignaria","Polistes_canadensis_canadensis","Polistes_fuscatus","Polistes_dominula","Vespa_crabro","Vespa_velutina","Vespula_pensylvanica","Camponotus_floridanus","Formica_exsecta","Nylanderia_fulva","Monomorium_pharaonis","Pogonomyrmex_barbatus","Ooceraea_biroi","Athalia_rosae","Diprion_similis","Neodiprion_fabricii","Neodiprion_virginiana","Blattella_germanica*","Cryptotermes_secundus","Zootermopsis_nevadensis","Schistocera_gregaria","Schistocera_nitens","Schistocera_serialis","Ischnura_elegans","Pantala_flavescens*"
"Bombus_vosnesenskii",226.95232211615,226.95232211615,226.95232211815,226.95232211815,226.95232211815,226.95232211865,226.95232212015,226.95232211515,226.95232213465,226.95232213465,226.95232213015,226.95232213015,226.95232213015,226.95232213015,226.95232213515,226.95232214015,135.21479727265,135.21479727265,135.21479727765,0.6727802703,0,45.56064753015,45.56064753065,45.56064753065,88.88866462965,88.88866462965,88.88866463015,88.88866462765,88.88866462765,88.88866463015,98.32682693265,98.32682693715,98.32682693715,98.32682693765,98.32682693765,98.32682693765,142.94410338015,142.94410338015,142.94410338115,142.94410338115,301.58666468515,301.58666468015,301.58666468015,301.58666469515,301.58666469515,301.58666469515,401.000000000148,401.000000000148
"Megachile_rotundata",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,135.2147972725,135.2147972725,135.2147972775,45.56064753015,45.56064753015,0,26.2108873205,26.2108873205,88.8886646295,88.8886646295,88.88866463,88.8886646275,88.8886646275,88.88866463,98.3268269325,98.326826937,98.326826937,98.3268269375,98.3268269375,98.3268269375,142.94410338,142.94410338,142.944103381,142.944103381,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Osmia_bicornis_bicornis",226.9523221165,226.9523221165,226.9523221185,226.9523221185,226.9523221185,226.952322119,226.9523221205,226.9523221155,226.952322135,226.952322135,226.9523221305,226.9523221305,226.9523221305,226.9523221305,226.9523221355,226.9523221405,135.214797273,135.214797273,135.214797278,45.56064753065,45.56064753065,26.2108873205,0,6.696605301,88.88866463,88.88866463,88.8886646305,88.888664628,88.888664628,88.8886646305,98.326826933,98.3268269375,98.3268269375,98.326826938,98.326826938,98.326826938,142.9441033805,142.9441033805,142.9441033815,142.9441033815,301.5866646855,301.5866646805,301.5866646805,301.5866646955,301.5866646955,301.5866646955,401.000000000498,401.000000000498
"Osmia_lignaria",226.9523221165,226.9523221165,226.9523221185,226.9523221185,226.9523221185,226.952322119,226.9523221205,226.9523221155,226.952322135,226.952322135,226.9523221305,226.9523221305,226.9523221305,226.9523221305,226.9523221355,226.9523221405,135.214797273,135.214797273,135.214797278,45.56064753065,45.56064753065,26.2108873205,6.696605301,0,88.88866463,88.88866463,88.8886646305,88.888664628,88.888664628,88.8886646305,98.326826933,98.3268269375,98.3268269375,98.326826938,98.326826938,98.326826938,142.9441033805,142.9441033805,142.9441033815,142.9441033815,301.5866646855,301.5866646805,301.5866646805,301.5866646955,301.5866646955,301.5866646955,401.000000000498,401.000000000498
"Polistes_canadensis_canadensis",226.9523221155,226.9523221155,226.9523221175,226.9523221175,226.9523221175,226.952322118,226.9523221195,226.9523221145,226.952322134,226.952322134,226.9523221295,226.9523221295,226.9523221295,226.9523221295,226.9523221345,226.9523221395,135.214797272,135.214797272,135.214797277,88.88866462965,88.88866462965,88.8886646295,88.88866463,88.88866463,0,10.7908328,14.5404489295,33.764361687,33.764361687,33.7643616895,98.326826932,98.3268269365,98.3268269365,98.326826937,98.326826937,98.326826937,142.9441033795,142.9441033795,142.9441033805,142.9441033805,301.5866646845,301.5866646795,301.5866646795,301.5866646945,301.5866646945,301.5866646945,400.999999999498,400.999999999498
"Polistes_fuscatus",226.9523221155,226.9523221155,226.9523221175,226.9523221175,226.9523221175,226.952322118,226.9523221195,226.9523221145,226.952322134,226.952322134,226.9523221295,226.9523221295,226.9523221295,226.9523221295,226.9523221345,226.9523221395,135.214797272,135.214797272,135.214797277,88.88866462965,88.88866462965,88.8886646295,88.88866463,88.88866463,10.7908328,0,14.5404489295,33.764361687,33.764361687,33.7643616895,98.326826932,98.3268269365,98.3268269365,98.326826937,98.326826937,98.326826937,142.9441033795,142.9441033795,142.9441033805,142.9441033805,301.5866646845,301.5866646795,301.5866646795,301.5866646945,301.5866646945,301.5866646945,400.999999999498,400.999999999498
"Polistes_dominula",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,135.2147972725,135.2147972725,135.2147972775,88.88866463015,88.88866463015,88.88866463,88.8886646305,88.8886646305,14.5404489295,14.5404489295,0,33.7643616875,33.7643616875,33.76436169,98.3268269325,98.326826937,98.326826937,98.3268269375,98.3268269375,98.3268269375,142.94410338,142.94410338,142.944103381,142.944103381,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Vespa_crabro",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,135.21479727,135.21479727,135.214797275,88.88866462765,88.88866462765,88.8886646275,88.888664628,88.888664628,33.764361687,33.764361687,33.7643616875,0,8.574290475,21.5556632275,98.32682693,98.3268269345,98.3268269345,98.326826935,98.326826935,98.326826935,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Vespa_velutina",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,135.21479727,135.21479727,135.214797275,88.88866462765,88.88866462765,88.8886646275,88.888664628,88.888664628,33.764361687,33.764361687,33.7643616875,8.574290475,0,21.5556632275,98.32682693,98.3268269345,98.3268269345,98.326826935,98.326826935,98.326826935,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Vespula_pensylvanica",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,135.2147972725,135.2147972725,135.2147972775,88.88866463015,88.88866463015,88.88866463,88.8886646305,88.8886646305,33.7643616895,33.7643616895,33.76436169,21.5556632275,21.5556632275,0,98.3268269325,98.326826937,98.326826937,98.3268269375,98.3268269375,98.3268269375,142.94410338,142.94410338,142.944103381,142.944103381,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
